,n_estimators,mean accuracy,std accuracy,mean train time,std train time,mean test time,std test time
0,10,0.5600000000000002,1.1102230246251565e-16,0.008357381820678711,0.001992508659626055,0.0005624532699584961,6.760295222028252e-05
1,60,0.6733333333333335,1.1102230246251565e-16,0.04136052131652832,0.0034136242931684757,0.002199101448059082,0.00018156375666967983
2,110,0.6399999999999999,1.1102230246251565e-16,0.07479641437530518,0.004023230784165918,0.003971743583679199,0.0002783862774907482
3,160,0.6733333333333335,1.1102230246251565e-16,0.10840320587158203,0.008640973687567393,0.005980563163757324,0.0009004474521874792
4,210,0.6733333333333335,1.1102230246251565e-16,0.15375940799713134,0.019990647399720233,0.0077247142791748045,0.0005601018529499163
5,260,0.66,0.0,0.18300814628601075,0.030805365617430355,0.009073209762573243,0.0003905645321120783
6,310,0.6733333333333335,1.1102230246251565e-16,0.22740092277526855,0.0365686734368881,0.010905051231384277,0.0006619462588554931
7,360,0.66,0.0,0.23822498321533203,0.007792155942786341,0.012183189392089844,0.0004136949707934936
8,410,0.6666666666666667,1.1102230246251565e-16,0.2593350410461426,0.004447596192746731,0.013589787483215331,0.0003801491357333061
9,460,0.66,0.0,0.33948540687561035,0.07140121643267493,0.02163841724395752,0.018492016146139628
10,510,0.66,0.0,0.32570109367370603,0.008959105637399819,0.01676497459411621,0.00042253942394260833
11,560,0.6666666666666667,1.1102230246251565e-16,0.36045083999633787,0.012014119644213679,0.019632411003112794,0.003306560478292884
12,610,0.6666666666666667,1.1102230246251565e-16,0.39297301769256593,0.0076342053854869425,0.020120644569396974,0.00041568993353610797
13,660,0.6666666666666667,1.1102230246251565e-16,0.4221719980239868,0.008200960242573161,0.02165234088897705,0.000657953254193522
14,710,0.66,0.0,0.46457996368408205,0.034237057889441376,0.023200559616088866,0.00034438683266507336
15,760,0.6666666666666667,1.1102230246251565e-16,0.4892665147781372,0.013070865110875294,0.025305652618408205,0.0005845259169969414
16,810,0.6799999999999999,1.1102230246251565e-16,0.5150862455368042,0.006317773722810683,0.027001714706420897,0.0015316022852729135
17,860,0.6733333333333335,1.1102230246251565e-16,0.5386746644973754,0.007666360294286565,0.027884578704833983,0.0003753527087888463
18,910,0.6799999999999999,1.1102230246251565e-16,0.589683222770691,0.01229703108599035,0.03130996227264404,0.0043277905451590245
19,960,0.6666666666666667,1.1102230246251565e-16,0.6226601600646973,0.017236708615936087,0.03164699077606201,0.0006397476314633991
